sec,mb
0,93989
0.038,93991
0.088,93990
0.138,93989
0.188,93989
0.238,93990
0.288,93990
0.338,93991
0.388,93989
0.438,93989
0.488,93989
0.538,93989
0.588,93989
0.638,93991
0.688,93989
0.738,93991
0.788,93988
0.838,93991
0.888,93990
0.977,93990
1.028,93991
1.078,93992
1.128,93992
1.178,93990
1.228,93988
1.278,93988
1.328,93989
1.378,93990
1.428,93988
1.478,93990
1.528,93992
1.578,93988
1.628,93991
1.678,93992
1.728,93991
1.778,93988
1.828,93989
1.878,93988
1.928,93991
1.978,93988
2.028,93991
2.078,93987
2.128,93989
2.178,93990
2.228,93991
2.278,93989
2.328,93989
2.378,93989
2.428,93991
2.478,93992
2.528,93991
2.578,93990
2.628,93991
2.678,93990
2.728,93991
2.778,93991
2.828,93991
2.878,93989
2.928,93990
2.978,93990
3.028,93990
3.078,93991
3.128,93989
3.178,93990
3.228,93991
3.278,93992
3.328,93988
3.378,93992
3.428,93990
3.478,93991
3.528,93991
3.578,93993
3.628,93990
3.678,93993
3.728,93991
3.778,93989
3.828,93990
3.878,93991
3.928,93990
3.978,93989
4.028,93991
4.078,93991
4.128,93990
4.178,93990
4.228,93992
4.278,93989
4.328,93991
4.378,93993
4.428,93989
4.478,93993
4.528,93990
4.578,93990
4.628,93992
4.678,93994
4.728,93990
4.778,93991
4.828,93989
4.878,93991
4.928,93989
4.978,93991
5.028,93992
5.078,93992
5.128,93990
5.178,93991
5.228,93990
5.278,93989
5.328,93991
5.378,93987
5.428,93992
5.478,93990
5.528,93990
5.578,93994
5.628,93992
5.678,93991
5.728,93988
5.778,93993
5.828,93991
5.878,93991
5.928,93992
5.978,93990
6.028,93993
6.078,93994
6.128,93993
6.178,93993
6.228,93993
6.278,93992
6.328,93991
6.378,93990
6.428,93994
6.478,93989
6.528,93992
6.578,93991
6.628,93990
6.678,93991
6.728,93991
6.778,93991
6.828,93992
6.878,93990
6.928,93991
6.978,93990
7.028,93991
7.078,93991
7.128,93990
7.178,93990
7.228,93991
7.278,93992
7.328,93989
7.378,93991
7.428,93991
7.478,93993
7.528,93991
7.578,93992
7.628,93989
7.678,93990
7.728,93989
7.778,93991
7.828,93991
7.878,93992
7.928,93992
7.978,93989
8.028,93992
8.078,93992
8.128,93991
8.178,93989
8.228,93992
8.278,93993
8.328,93987
8.378,93991
8.428,93990
8.478,93989
8.528,93991
8.578,93991
8.628,93989
8.678,93988
8.728,93989
8.778,93992
8.828,93991
8.878,93992
8.928,93992
8.978,93989
9.028,93992
9.078,93990
9.128,93991
9.178,93990
9.228,93989
9.278,93991
9.328,93991
9.378,93991
9.428,93993
9.478,93994
9.528,93990
9.578,93991
9.628,93990
9.678,93991
9.728,93988
9.778,93993
9.828,93992
9.878,93990
9.928,93991
9.978,93991
10.028,93991
10.078,93991
10.128,93990
10.178,93990
10.228,93990
10.278,93991
10.328,93990
10.378,93990
10.428,93991
10.478,93990
10.528,93989
10.578,93991
10.628,93991
10.678,93991
10.728,93992
10.778,93990
10.828,93990
10.878,93990
10.928,93989
10.978,93989
11.028,93990
11.078,93990
11.128,93990
11.178,93990
11.228,93991
11.278,93988
11.328,93988
11.378,93989
11.428,93988
11.478,93987
11.528,93986
11.578,93989
11.628,93990
11.678,93989
11.728,93985
11.778,93987
11.828,93988
11.878,93988
11.928,93986
11.978,93986
12.028,93983
12.078,93984
12.128,93984
12.178,93985
12.228,93987
12.278,93984
12.328,93983
12.378,93983
12.428,93985
12.478,93983
12.528,93983
12.578,93983
12.628,93982
12.678,93982
12.728,93983
12.778,93980
12.828,93983
12.878,93981
12.928,93983
12.978,93982
13.028,93981
13.078,93982
13.128,93982
13.178,93979
13.228,93981
13.278,93980
13.328,93981
13.378,93982
13.428,93980
13.478,93982
13.528,93981
13.578,93980
13.628,93981
13.678,93984
13.728,93983
13.778,93982
13.828,93982
13.878,93985
13.928,93984
13.978,93984
14.028,93983
14.078,93983
14.128,93984
14.178,93986
14.228,93987
14.278,93983
14.328,93987
14.378,93986
14.428,93984
14.478,93985
14.528,93986
14.578,93986
14.628,93986
14.678,93988
14.728,93988
14.778,93988
14.828,93988
14.878,93986
14.928,93990
14.978,93989
15.028,93988
15.078,93989
15.128,93991
15.178,93988
15.228,93990
15.278,93988
15.328,93990
15.378,93989
15.428,93990
15.478,93991
15.528,93989
15.578,93991
15.628,93991
15.678,93989
15.728,93988
15.778,93989
15.828,93989
15.878,93991
15.928,93990
15.978,93990
16.028,93990
16.078,93990
16.128,93992
16.178,93990
16.228,93990
16.278,93991
16.328,93989
16.378,93989
16.428,93990
16.478,93989
16.528,93991
16.578,93990
16.628,93988
16.678,93989
16.728,93990
16.778,93991
16.828,93991
16.878,93991
16.928,93991
16.978,93990
17.028,93989
17.078,93990
17.128,93989
17.178,93991
17.228,93990
17.278,93990
17.328,93988
17.378,93991
17.428,93989
17.478,93989
17.528,93988
17.578,93990
17.628,93988
17.678,93992
17.728,93990
17.778,93990
17.828,93993
17.878,93990
17.928,93989
17.978,93992
18.028,93988
18.078,93989
18.128,93989
18.178,93990
18.228,93989
18.278,93990
18.328,93990
18.378,93989
18.428,93989
18.478,93991
18.528,93988
18.578,93990
18.628,93990
18.678,93988
18.728,93989
18.778,93988
18.828,93989
18.878,93987
18.928,93988
18.978,93991
19.028,93987
19.078,93989
19.128,93989
19.178,93986
19.228,93990
19.278,93990
19.328,93990
19.378,93989
19.428,93987
19.478,93989
19.528,93989
19.578,93991
19.628,93986
19.678,93988
19.728,93990
19.778,93988
19.828,93990
19.878,93990
19.928,93988
19.978,93988
20.028,93989
20.078,93987
20.128,93989
20.178,93991
20.228,93986
20.278,93990
20.328,93989
20.378,93988
20.428,93988
20.478,93990
20.528,93987
20.578,93988
20.628,93989
20.678,93989
20.728,93989
20.778,93990
20.828,93990
20.878,93991
20.928,93987
20.978,93988
21.028,93989
21.078,93988
21.128,93988
21.178,93989
21.228,93990
21.278,93988
21.328,93988
21.378,93991
21.428,93991
21.478,93990
21.528,93989
21.578,93986
21.628,93988
21.678,93989
21.728,93990
21.778,93988
21.828,93988
21.878,93989
21.928,93990
21.978,93990
22.028,93990
22.078,93990
22.128,93992
22.178,93991
22.228,93988